Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
Are you experiencing any numbness or tingling in your extremities?,"Bẹ́ẹ̀ ni, àwọn ìka ọwọ́ mi àti ẹsẹ̀ mi máa ń tẹ̀yìn.","Yes, my fingers and toes usually tingle.","Yes is, the fingers hand my and leg my usually tingle."
Do you have a history of asthma or any respiratory problems?,"Bẹ́ẹ̀ni, ikọ́ fífọ́njá máa ń mú mi lẹ́nu nígbà mìíràn.","Yes, asthma sometimes makes me breathless.","Yes, cough asthma usually progressive makes me breathless sometimes."
We need to admit you for observation. Is that okay?,"Ó dára, dókítà. Ohunkóhun tí ó bá tiẹ̀ jẹ́ fún ìwòsàn mi ni.","It's fine, doctor. Whatever it takes for my recovery.","It good, doctor. Anything that it even be for healing my is."
Have you checked your blood sugar levels today?,"Bẹ́ẹ̀ni, mo ti ṣàyẹ̀wò rẹ̀ lálẹ́ òní.","Yes, I checked it this evening.","Yes, I have checked it this evening."
How many times a day do you pass urine?,"Mo máa ń tọ̀ lọ́pọ̀lọpọ̀ ní òru, ó ti di bíi ìgbà mẹ́rin sí márùn-ún, èyí sì mú àárẹ̀ bá mi.","I urinate frequently at night, about four to five times, and this causes me fatigue.","I usually urinate excessively in night, it has become like time four to five, this also brings fatigue to me."
Have you noticed any blood in your urine?,"Bẹ́ẹ̀ni, Dókítà. Ẹ̀jẹ̀ púpọ̀ ni mo rí nínú ìtọ̀ mi lẹ́yìn tí mo tọ̀ ní òwúrọ̀ yìí.","Yes, Doctor. I saw a lot of blood in my urine after I urinated this morning.","Yes, Doctor. Blood much is what I saw in urine my after that I urinated in morning this."
Are you taking any herbal remedies?,"Bẹ́ẹ̀ni, mo ń mu adúgbó kan tí wọ́n sọ pé ó dára fún ibà.","Yes, I am taking a local herbal preparation that is said to be good for fever.","Yes, I am drinking herbal remedy one that they said it good for fever."
Do you have any allergies to medications or food?,"Bẹ́ẹ̀ ni, mo máa ń ṣe àlẹ̀jí sí Pénísílínì.","Yes, I usually have an allergic reaction to Penicillin.","Yes, I usually do allergy to Penicillin."
We need an X-ray of your leg to check for fractures.,Ṣé ó ti fọ́ ni? Mo rò pé ìfọ́ nìkan ni.,Is it broken? I thought it was just a sprain.,Is it has broken? I thought that sprain only it is.
Are you experiencing any shortness of breath?,"Bẹ́ẹ̀ni, èémí mi kúkúrú, mo sì máa ń ṣe àdúkú àdúgbẹ̀ẹ́, èmi kò sì lè sùn dáadáa.","Yes, I have shortness of breath, and I wheeze, and I can't sleep properly.","Yes, my breath is short, I also usually do wheezing, I cannot also sleep well."
Is there a history of diabetes in your family?,Bàbá mi àti ìyá mi méjèèjì ni wọ́n ní àtọ̀gbẹ́.,Both my father and my mother have diabetes.,Father my and mother my both they had diabetes.
Do you understand the procedure we've discussed and the potential risks involved?,"Bẹ́ẹ̀ni, mo ti gbọ́ gbogbo ohun tí ẹ sọ. Mo sì ti gbà pẹ̀lú ọkàn mi. Ẹ lè tẹ̀síwájú.","Yes, I have heard everything you said. And I have agreed wholeheartedly. You can proceed.","Yes, I have heard all thing that you said. I also have agreed with heart my. You can proceed."
Do you have a dry cough or a productive one?,Ikọ́ gbígbẹ ni; kò sí ohun tí ó ń jáde.,It's a dry cough; nothing is coming out.,Cough dry is; not there thing that is coming out.
We'll confirm with a test and then prescribe appropriate medication. Don't worry.,"Ẹ ṣeun púpọ̀, dókítà. Mo gbẹ́kẹ̀ lé yín pé ohun gbogbo yóò lọ dáadáa.","Thank you very much, doctor. I trust you that everything will go well.","You thanked much, doctor. I trust you that thing all will go well."
Are you feeling regular contractions or any water breaking?,"Kò sí omi kankan, ṣùgbọ́n àwọn ìfararọ tí pọ̀ láìdáwọ́dúró.","There is no water, but the contractions have become frequent and continuous.","No is water at all, but the contractions have increased continuously."
Do you experience any numbness or tingling sensations?,"Bẹ́ẹ̀ni, apá àti ẹsẹ̀ mi máa ń gbóná, ó sì máa ń ta mí lọ́wọ́ pẹ̀lú.","Yes, my arms and legs often feel tingly, and I also experience pins and needles.","Yes, arm and leg my usually hot, it also usually hit me hand with."
When did you first notice the rash on your skin?,"Ní ọ̀sẹ̀ tó kọjá ni mo rí i, ó sì ń yọ mi lẹ́nu pẹ̀lú ìhúnra.","I saw it last week, and it's bothering me with itching.","In week that passed is I saw it, it and is annoying me with itching."
How long have you had this cough?,"Ó ti lé ní ọ̀sẹ̀ méjì báyìí, kò sì fẹ́ tàṣèpadà.","It's been more than two weeks now, and it's not getting better.","It has passed week two now, it also doesn't want to change."
How many months pregnant are you now?,Mo wà ní oṣù keje báyìí. Mo ti fi ìbẹ̀rẹ̀ oyún mi pamọ́ sáwọn èèyàn.,I am seven months pregnant now. I kept my early pregnancy secret from people.,I am in month seventh now. I have with beginning pregnancy my hidden from people.
Have you had a history of high blood pressure in your family?,"Bẹ́ẹ̀ni, ìyá mi ní ẹ̀jẹ̀ ríru, bàbá mi náà sì ní i kí ó tó kú.","Yes, my mother has high blood pressure, and my father also had it before he passed away.","Yes, mother my has blood pressure, father my too also had it before he died."
We need to check your blood sugar levels. Have you eaten anything this morning?,"Mo ti mu kọfí nìkan pẹ̀lú búrẹ́dì díẹ̀, mi ò sì jẹ ohun mìíràn.","I only had coffee with a little bread, and I haven't eaten anything else.","I have drunk coffee only with bread a little, I have not eaten thing other."
Are you experiencing any unusual bleeding after delivery?,"Bẹ́ẹ̀ni, ó pọ̀ ju bí mo ṣe rò lọ. Àti pé ó tiẹ̀ ní àwọ̀ dúdú.","Yes, it's more than I expected. And it's even a dark colour.","Yes, it much more than how I do think it. And it even has color black."
How many months pregnant are you?,Mo gbà pé oṣù méje ni ó ti pẹ́ tí mo ti lóyún.,I believe I am seven months pregnant.,I believe that month seven it is it has long that I have been pregnant.
"Okay, please stay calm. We're taking him to the emergency room immediately. Our team will attend to him.",O ṣeun púpọ̀. Ṣe yóò dára? Ṣé àwọn àyẹ̀wò yóò yẹra fún wa lójú ẹsẹ̀?,Thank you very much. Will he be alright? Will the tests be done immediately?,Thank you very much. Will he be good? Will the tests will save for us immediately?
Do you smoke or drink alcohol?,"Mo máa ń mu sìgá díẹ̀ nígbà míì, ṣùgbọ́n mi ò mutí rárá.","I occasionally smoke a little, but I don't drink alcohol at all.","I usually drink cigarette a little sometimes, but I don't drink alcohol at all."
Are you experiencing any difficulty breathing?,"Bẹ́ẹ̀ni, èémí mi kò rọrùn. Ó dàbí ẹni pé mo ń mí ni kíkún.","Yes, my breathing is difficult. It feels like I'm gasping for air.","Yes, breath my not easy. It is like person who is breathing with fullness."
"How old is your child, and is the fever very high?","Ọmọ mi jẹ́ ọmọ ọdún méjì, ibà náà sì ti ga débi pé ara rẹ̀ gbóná púpọ̀.","My child is two years old, and the fever is so high that his body is very hot.","Child my is child year two, fever that also has high reached point that body his hot much."
What happened to the child?,"Ó ṣubú láti orí àga, orí rẹ̀ sì gbágbé.","He fell from the chair, and his head hit the ground.","He fell from on chair, head his also hit ground."
"How old is your child, and what symptoms are you observing?","Ọmọ mi jẹ́ ọdún méjì péré. Ó gbóná janjan, ó sì ń hó yaya, kò sì jẹun fún ọjọ́ méjì.","My child is just two years old. He has a very high fever, is convulsing, and hasn't eaten for two days.","Child my is year two just. He is hot intensely, he and is convulsing, not he and ate for day two."
"Do you have any other symptoms, like headache or body pain?","Bẹ́ẹ̀ ni, orí mi ń fọ́ mi gan-an, gbogbo ara mi sì ń ro mí.","Yes, I have a severe headache, and my whole body aches.","Yes, head my is paining me very much, whole body my also is aching me."
Have you been feeling unusually tired or fatigued?,"Gbogbo ara mi rẹ̀ dànù, mi ò lè gbé nǹkan kan mọ́.","My whole body is completely exhausted, I can't lift anything anymore.","All body my tired completely, I cannot lift anything anymore."
"Alright, we'll attend to him immediately. Did anyone else get injured?",Rárá o. Òun nìkan ló wà nínú ọkọ̀ nígbà ìjàm̀bá náà. Ó sáré kọ lu igi kan.,No. He was the only one in the car during the accident. He ran into a tree.,No oh. He only is he was in inside car when accident the. He ran hit tree a.
Is your child eating and drinking normally?,"Rárá, kò gbọdọ̀ jẹun, kò sì mu omi tó pọ̀. Ó ti rẹ́ra gan-an.","No, he's not eating, nor is he drinking much water. He's very weak.","No, he not must eat, he not also drink water that much. He has tired very much."
We'll need to run some diagnostic tests. Do you have any questions about that?,"Bẹ́ẹ̀kọ́, Dọ́kítà. Mo gbẹ́kẹ̀ lé yín pé gbogbo rẹ̀ yóò dára.","No, Doctor. I trust that everything will be fine.","No, Doctor. I trust on you that all of it will be good."
Have you had this problem before?,"Bẹ́ẹ̀ni, ó ti ṣẹlẹ̀ ní ẹ̀ẹ̀mẹ́ji tẹ́lẹ̀, ṣùgbọ́n kò le tó báyìí.","Yes, it has happened twice before, but it wasn't as severe as this.","Yes, it has happened in twice before, but it not severe as now."
"Yes, eat nutritious food and drink plenty of fluids. Are you experiencing any vision changes?","Bẹ́ẹ̀ni, dókítà. Òrìṣà máa ń gba ojú mi lọ́wọ́, gbogbo rẹ̀ sì máa ń lọ nígbà mìíràn.","Yes, doctor. My vision becomes blurry, and sometimes it all goes dark.","Yes, doctor. Spirit usually takes eye my away, all of it also usually goes at other times."
Are you pregnant?,"Bẹ́ẹ̀ni, mo ti wà ní oṣù karùn-ún ìyoyún báyìí, mo sì ń wá ìtọ́jú.","Yes, I am five months pregnant now, and I am seeking antenatal care.","Yes, I have been in month five pregnancy now, I also am seeking care."
Are you currently on any long-term medications for other conditions?,Bẹ́ẹ̀ ni. Mo ń mu oògùn fún ẹ̀jẹ̀ rírù sí orí (stroke) tí mo kọlu ní ọdún tó kọjá.,Yes. I am taking medication for the stroke I suffered last year.,Yes. I am taking medicine for blood flowing to head (stroke) that I suffered in year that passed.
We need to admit you for observation. Do you agree?,"Mo gbà pé kí ẹ tẹ́wọ́ gbà mí, mo mọ̀ pé ó fún ìlera mi ni.",I agree for you to admit me; I know it's for my health.,"I agree that you accept me, I know that it is for health my is."
Are you still experiencing any lingering malaria symptoms after finishing your medication?,"Bẹ́ẹ̀ni, ara mi ṣì ń gbóná nígbà mìíràn, mo sì tún máa ń rẹ̀wẹ̀sì.","Yes, my body still feels hot sometimes, and I also still feel fatigued.","Yes, body my still is hot sometimes, I also again usually am tired."
How far along are you in your pregnancy?,"Mo ti wà ní oṣù keje báyìí. Ohun gbogbo sì ń lọ dáadáa, mo rò bẹ́ẹ̀.","I am in my seventh month now. Everything is going well, I think so.","I have been at month seventh now. Thing everything also is going well, I think so."
Have you been taking your blood pressure medication regularly?,"Bẹ́ẹ̀ni, dókítà. Èmi kìí gbàgbé láti mú un ní gbogbo òwúrọ̀ gẹ́gẹ́ bí ẹ ti sọ.","Yes, doctor. I never forget to take it every morning as you instructed.","Yes, doctor. I never forget to take it in every morning as you have said."
How often do you feel these heart palpitations?,"Wọ́n máa ń dé ní ìgbà mẹ́ta sí mẹ́rin lójúmọ́, ó sì máa ń mú mi bẹ̀rù.","They occur three to four times a day, and they usually make me scared.","They usually come at time three to four daily, it also usually makes me afraid."
Is there any family history of mental health conditions?,"Ìyá ìyá mi ní ìṣòro ọpọlọ kan, ṣùgbọ́n mi ò mọ̀ dáadáa irú rẹ̀.","My grandmother had a mental health problem, but I don't know the exact type.","Mother mother my had problem brain one, but I not know well type its."
Have you had any dental problems recently?,"Bẹ́ẹ̀ni, eyín mi kan ń dun mi gan-an, ó sì ti fọ́ díẹ̀ níbẹ̀.","Yes, one of my teeth is aching severely, and it has chipped a bit there.","Yes, tooth my one is aching me very much, it also has chipped a bit there."
"We've run some tests, and it appears you have a mild infection. I'll prescribe antibiotics.","Ó dára, dókítà. Ṣé kí n máa mu ún lẹ́yìn oúnjẹ tàbí kí n mu ún kí n tó jẹun ni?","Okay, doctor. Should I take it after meals or before I eat?","It is good, doctor. Is it that I habitually take it after meal or that I take it before I eat then?"
We need to perform a small surgical procedure. Do you consent?,"Bẹ́ẹ̀ni, mo fọwọ́ sí i, níwọ̀n bí ẹ ti sọ pé ó ṣe pàtàkì fún ìlera mi.","Yes, I consent to it, since you said it is important for my health.","Yes, I put hand on it, since you did say that it is important for health my."
When did this happen?,"Láti òwúrọ̀ yìí ni, dòkítà. Kò tíì pẹ́ tó bẹ́ẹ̀. Mi ò sì lè gbé ẹsẹ̀ náà rárá.","It happened this morning, doctor. It's not been that long. I cannot lift the leg at all.","Since morning this is, doctor. It not yet long that much. I also not can lift leg that at all."
Are you having any issues with breastfeeding?,"Bẹ́ẹ̀ ni, ọmú mi kò tó omi ọmú dáadáa, ọmọ mi sì ń gbẹ́kùn púpọ̀.","Yes, my breast milk supply isn't good enough, and my baby cries a lot.","Yes it is, breast my not enough milk good, child my also is crying very much."
Are you taking your prescribed medications as directed?,"Bẹ́ẹ̀ni, mo gbìyànjú láti má fi gbogbo rẹ̀ sílẹ̀, bí wọ́n ti kọ ọ́ sílẹ̀ ni mo ṣe ń mu u.","Yes, I try not to miss any dose; I take it exactly as prescribed.","Yes, I try to not leave all of it, as they have written it down is I do take it."
Do you have any family history of cancer?,"Bẹ́ẹ̀ni, ìyá ìyá mi kú nípasẹ̀ àrùn jẹjẹrẹ nínú ọmú.","Yes, my maternal grandmother died from breast cancer.","Yes, mother mother my died through disease cancer in breast."
Are you experiencing any shortness of breath?,"Bẹ́ẹ̀ni, Dókítà. Nígbà tí mo bá ń rìn díẹ̀, ó máa ń sú mi ní èémí.","Yes, Doctor. When I walk a little, I get short of breath.","Yes, Doctor. When I will be walking a little, it usually tires me in breath."
Tell me about your bowel movements. Are they watery?,"Bẹ́ẹ̀ni, ìgbẹ́ mi ròpòtò, ó sì ti lé ní ẹ̀ẹ̀marùn-ún lónìí.","Yes, my stool is watery, and it has been more than five times today.","Yes, stool my is watery, it also has exceeded five times today."
Have you had any recent weight loss without trying?,"Bẹ́ẹ̀ni, Dókítà. Ara mi ti rùú jáde gan-an. Àwọn aṣọ mi ti tóbi fún mi.","Yes, Doctor. I've lost a lot of weight. My clothes are too big for me now.","Yes, Doctor. Body my has lost weight very much. Clothes my have become big for me."
How would you describe your bowel movements? Are they regular?,"Rárá o, Dókítà. Ó máa ń pẹ́ díẹ̀ kí n tó lọ, ó sì máa ń le.","No, Doctor. It usually takes a while before I pass stool, and it's usually hard.","No oh, Doctor. It usually delays a little before I before go, it also usually hard."
Do you have a history of high blood pressure?,"Bẹ́ẹ̀ni, àwọn dókítà kan ti sọ fún mi tẹ́lẹ̀ pé ẹ̀jẹ̀ ríru wà níbẹ̀.","Yes, some doctors have told me before that there is high blood pressure.","Yes, doctors some have told me before that blood high is there."
Can you describe the rash on your child and how it started?,"Ó bẹ̀rẹ̀ ní ara ikùn rẹ̀, ó sì ti tan dé gbogbo ara. Ó pọ́n, ó sì ní àwọn àpá pupa kekere.",It started on his abdomen and has spread throughout his body. It's red and has small red spots.,"It started on body abdomen his, it also has spread to all body. It is red, it also has the spots red small."
Please schedule a follow-up appointment for next month.,"Ó dára, mo máa wá ní oṣù tó ń bọ̀ bí ó bá ti yẹ.","Okay, I will come next month as required.","It good, I usually come in month that is coming as it should be."
"Are you currently taking any other medications, including herbal remedies?","Mo ń mu egbògi ìbílẹ̀ kan fún àyíká mi, ṣùgbọ́n yàtọ̀ sí ìyẹn, kò sí ohun mìíràn.","I am taking some traditional medicine for my system, but apart from that, nothing else.","I am taking medicine traditional one for system my, but apart from that, not is thing other."
How long has your child been experiencing these symptoms?,"Ó ti lé ní ọjọ́ márùnún báyìí. Ó ń sùn jù, kò sì fẹ́ ṣeré bíi ti tẹ́lẹ̀. Ó ti di aláìlágbára.","It's been more than five days now. He/She sleeps excessively, and doesn't want to play like before. He/She has become weak.","It has exceeded five days now. He/She is sleeping too much, he/she also does not want to play like before. He/She has become weak."
Have you been compliant with your medication regimen for hypertension?,"Bẹ́ẹ̀ni, dókítà. Mo mu oògùn mi déédéé gẹ́gẹ́ bí ẹ ṣe sọ fún mi.","Yes, doctor. I take my medication regularly as you instructed me.","Yes, doctor. I take medicine my regularly according to as you said for me."
When was the last time you ate?,"Ó ti lé ní wákàtí mẹ́fà báyìí, mi ò sì tiì jẹun láti òwúrọ̀.",It's been more than six hours now; I haven't eaten since morning.,"It has exceeded at hours six now, I not also have eaten since morning."
Do you have any problems with your hearing?,"Bẹ́ẹ̀ ni. Eti mi máa ń gbọ́ dídún, àwọn ohùn rẹlẹ̀ sì máa ń jẹ́ kàyéfì.","Yes. My ears often hear ringing, and low sounds are sometimes difficult to perceive.","Yes. Ear my used to hear ringing, the sounds low also used to be wonder."
What medications are you currently taking?,"Mo ń mu oògùn fún àtọ̀gbẹ, àti pé mo máa ń mu atùnrara.","I am taking medication for diabetes, and I sometimes take painkillers.","I am taking medicine for diabetes, and that I usually take painkiller."
"Are you having any problems with your memory, like forgetting things often?","Bẹ́ẹ̀ni, mo máa ń gbàgbé ohun púpọ̀, kò sì rọrùn mọ́.","Yes, I often forget many things, and it's not easy anymore.","Yes, I usually forget things many, it also is not easy anymore."
Are you having any issues with your memory or concentration?,"Bẹ́ẹ̀ni, mo gbàgbé ohun púpọ̀, kò sì rọrùn fún mi láti dojú kọ nǹkan kan fún àkókò gígùn.","Yes, I forget many things, and it's not easy for me to concentrate on one thing for a long time.","Yes, I forget thing much, it also is not easy for me to face one thing for time long."
And how long have you been feeling this way?,"Ó ti tó ọjọ́ mẹ́ta báyìí, pẹ̀lú àárẹ̀ púpọ̀.","It has been about three days now, with a lot of fatigue.","It has reached day three now, with tiredness much."
How long has your child had this fever?,"Ó ti di ọjọ́ méjì báyìí, ara rẹ̀ sì gbóná jọjọ.","It has been two days now, and his body is very hot.","It has become days two now, body his also hot very."
Please call the emergency number if your symptoms worsen or you experience difficulty breathing.,"Ó dára, dòkítà. Ẹ ṣeun púpọ̀ fún ìrànlọ́wọ́ yín. Mo rò pé mo ti gbọ́ gbogbo rẹ̀ báyìí.","Okay, doctor. Thank you very much for your help. I think I understand everything now.","It is good, doctor. Thank you very much for help your. I think I have heard all of it now."
Have you had a recent malaria test?,"Bẹ́ẹ̀ ni, mo wá níjẹ́ kẹ́yìn, wọ́n sì sọ pé àrùn ibà wà lára mi.","Yes, I came recently, and they said I had malaria.","Yes indeed, I came last, they also said that disease fever is inside my body."
Have you done a malaria test? We need to confirm the diagnosis.,"Bẹ́ẹ̀ni, mo lọ sí ilé ìwòsàn kékeré kan, wọ́n sì sọ pé àrùn ibà ni.","Yes, I went to a small clinic, and they said it was malaria.","Yes, I went to house clinic small one, they also said that sickness malaria is."
Did you experience any trauma or injury recently?,"Bẹ́ẹ̀ ni, mo fi orí kọ igi ní ọjọ́ méjì sẹ́yìn. Orí mi sì ń fò mi lati ìgbà náà.","Yes, I hit my head on a tree two days ago. My head has been throbbing since then.","Yes, I with head hit tree at day two behind. Head my also is throbbing me from time that."
How many liters of water do you drink daily?,"Mi ò ka iye tí mo máa ńmu, ṣùgbọ́n mo máa ńmu omi púpọ̀.","I don't count how much I drink, but I usually drink a lot of water.","I do not count the amount I usually drink, but I usually drink much water."
Have you noticed any vaginal bleeding or fluid leakage?,"Bẹ́ẹ̀kọ́, Dókítà. Ṣùgbọ́n mo rí àwọ̀ pupa díẹ̀ nígbà tí mo lọ sí ilé ìgbọ̀nsẹ̀ àná.","No, Doctor. But I noticed a little reddish discharge when I went to the restroom yesterday.","No, Doctor. But I saw color red a little when I went to house toilet yesterday."
We'd like to schedule a follow-up appointment for you. What day works best?,Ọjọ́ Àìkú tàbí Ọjọ́ Ìṣẹ́gun ní ọ̀sẹ̀ tí ń bọ̀ á dára. Mo ní àwọn ọmọdé láti lọ sí ilé-ìwé.,Sunday or Tuesday next week would be good. I have children to take to school.,Day Sunday or Day Tuesday in week that is coming will be good. I have children to go to house-school.
It's important to reduce your salt intake. Can you manage that?,Má ṣe àníyàn. Mò ń gbìyànjú láti dín iyọ̀ kù nínú oúnjẹ mi láti ìgbà díẹ̀ wá.,Don't worry. I've been trying to reduce salt in my diet for a while now.,Do not worry. I am trying to reduce salt in food my from time little to come.
Does anything make the pain better or worse?,"Tí mo bá jókòó jẹ́jẹ́, ó máa ń dín kù díẹ̀, ṣùgbọ́n tí mo bá dìde, ó máa ń pọ̀ sí i.","If I sit quietly, it lessens a bit, but if I stand up, it worsens.","If I sit quietly, it is decreasing a bit, but if I stand up, it is increasing further."
"How often do you pass stool, and what is your diet like?",N kò lè lọ sí ilé ìgbọ̀nsẹ̀ fún ọjọ́ márùn-ún. Mo máa ń jẹ iṣu àti àgbàdo púpọ̀.,I haven't been able to go to the toilet for five days. I usually eat a lot of yam and corn.,I not can go to house toilet for day five. I always eat yam and corn much.
Do you feel any lumps or swelling in your neck or groin?,"Bẹ́ẹ̀ni, wọ́n ti wú mi ní ọrùn, ó sì ń dùn díẹ̀.","Yes, I have swollen glands in my neck, and it's slightly painful.","Yes, they have swollen me in neck, it also is paining a little."
Have you been exposed to anyone with a contagious illness?,"Bẹ́ẹ̀ni, aládùúgbò mi ti ń kọ́ fée, mo sì ti bá a wọlé.","Yes, my neighbor has been coughing, and I have entered their house.","Yes, neighbor my has been coughing, I have entered house their."
How high was your child's fever?,"Ó ti pọ̀ gan-an, ara rẹ̀ gbóná janjan. Ó fẹ́rẹ̀ẹ́ ju 39 degrees Celsius lọ.","It was very high, his body was extremely hot. It was almost above 39 degrees Celsius.","It has much very, body his hot extremely. It almost exceed 39 degrees Celsius."
Is there any blood in your stool or urine?,Mo rí ẹ̀jẹ̀ díẹ̀ nínú ìgbẹ́ mi lójúmọ́ lánàá.,I saw a little blood in my stool yesterday morning.,I saw a little blood in my stool yesterday morning.
Have you noticed any changes in your hearing?,"Bẹ́ẹ̀ni, etí mi kan kò gbọ́ dáadáa báyìí, ó sì máa ń súfèé díẹ̀ lẹ́ẹ̀kọ̀ọ̀kan.","Yes, one of my ears doesn't hear well now, and it sometimes whistles a bit.","Yes, ear my one does not hear well now, it also usually whistles a bit sometimes."
Does your child have a fever in addition to the cough?,"Bẹ́ẹ̀ni, ara rẹ̀ gbóná púpọ̀, ó sì ń kọ̀ láti jẹun.","Yes, his body is very hot, and he is refusing to eat.","Yes, body his hot very, he and is refusing to eat food."
Is there anything that makes the pain better or worse?,"Tí mo bá sùn tì, ó máa ń dín díẹ̀, ṣùgbọ́n tí mo bá dìde, ó máa ń pọ̀ sí i.","If I lie down, it reduces a bit, but if I stand up, it increases.","If I if lie down, it usually reduces a bit, but if I if stand up, it usually increases more."
Do you have any known allergies to medications?,"Bẹ́ẹ̀ni, Dókítà, mo ní àlẹ̀jí sí Pénísílínì. Ó máa ń mú mi rí oòyì àti ìhó orí.","Yes, Doctor, I have an allergy to Penicillin. It makes me get a rash and hives.","Yes, Doctor, I have allergy to Penicillin. It usually is making me see rash and head-hives."
Are you feeling unusually tired or fatigued?,"Ara mi rẹ̀ mí gidigidi, bí ẹni pé mi ò sùn fún ọ̀pọ̀lọpọ̀ ọjọ́, bó tilẹ̀ jẹ́ pé mo sùn dáadáa.","I'm extremely tired, as if I haven't slept for many days, even though I've slept well.","Body my tired me very much, like one that I not slept for many days, though it is that I slept well."
Have you noticed any unusual discharge?,"Bẹ́ẹ̀ni, omi kan máa ń jáde lára mi, ó sì máa ń gbóòrùn.","Yes, there's a discharge from my body, and it has an odor.","Yes, water one usually comes out from body my, it also usually smells."
We need to run some blood tests. Is that okay with you?,"Bẹ́ẹ̀ ni, kò sí ìṣòro. Ṣé ó máa pẹ́ tó?","Yes, no problem. How long will it take?","Yes, not exist problem. Will it usually long how?"
Did you apply the cream as instructed?,"Bẹ́ẹ̀ni, Dókítà. Mo máa ń fi oògùn náà pa á lẹ́ẹ̀méjì lójoojúmọ́, ṣùgbọ́n awọ ara náà kò tíì yá.","Yes, Doctor. I apply the medication twice a day, but the skin hasn't healed yet.","Yes, Doctor. I usually am putting medicine the rub it two times everyday, but skin body the not yet well."
Have you had a recent malaria test?,"Bẹ́ẹ̀ni, wọ́n ṣe é fún mi ní ọ̀sẹ̀ tó kọjá, wọ́n ní èèyàn malaria wà níbẹ̀.","Yes, they did it for me last week, they said there was malaria parasite.","Yes, they did it for me last week, they said malaria parasite was there."
Have you noticed any changes in your speech or voice?,"Bẹ́ẹ̀ni, ohùn mi ti yípadà díẹ̀, ó sì máa ń wọ̀ mí nígbà míì.","Yes, my voice has changed a bit, and it sometimes becomes hoarse.","Yes, voice my has changed a-little, it and usually becomes-hoarse me sometimes."
Can you describe the diarrhoea? Is it watery or solid?,"Ìgbẹ́ náà gbóná, ó sì dá omi púpọ̀, àwọ̀ rẹ̀ sì dúdú.","The stool is watery and very loose, and it's dark in color.","Stool the is hot, it also contains water much, color its also is black."
Are you currently experiencing any tingling or numbness in your limbs?,"Bẹ́ẹ̀ni, àwọn ẹsẹ̀ àti apá mi máa ń gbóná, wọ́n sì máa ń rẹ̀lẹ̀ láìròtẹ́lẹ̀.","Yes, my legs and arms often feel tingly, and they sometimes go numb unexpectedly.","Yes, legs and arms my usually hot, they also usually weak unexpectedly."
