Doctor_English,Patient_Yoruba,Clinical_Translation_English,diacritic_risk
"Do you own a mobile phone, and could you use it to access health information or telemedicine?","Mo ní fóònù tó ń wọlé, ṣùgbọ́n mi ò mọ̀ bí a ṣe ń lo rẹ̀ fún ìwòsàn. Ọmọ mi tó ń kọ́ ilé ẹ̀kọ́ ló máa ń ràn mí lọ́wọ́.","Mobile phone ownership with digital health literacy gap in an elderly rural patient, indicating potential for telemedicine access facilitated by a younger family member, which could significantly reduce transport barriers to specialist consultation.",LOW
"Is your eye always watering, and does it get worse in bright light or windy conditions?","Ojú mi ọ̀tún máa ń sọ omi lọ́pọ̀lọpọ̀, pàápàá nígbà tí afẹ́fẹ́ bá ń fẹ̀ tàbí ní ìmọ̀lẹ̀ oòrùn.","Unilateral epiphora exacerbated by wind and bright light exposure, suggesting nasolacrimal duct obstruction, ectropion, or corneal surface pathology such as a foreign body or superficial keratitis.",LOW
"Has your child ever had a seizure related to a high fever before, and has it happened more than once?","Ọmọ mi ti gbọn nítorí ibà lẹ́ẹ̀mẹ́rin ní ọdún méjì. Lẹ́ẹ̀kan, ó gbọn fún ìṣẹ́jú mẹ́wàá tó ń bani lóru.","Recurrent febrile seizures with one prolonged episode exceeding five minutes, meeting criteria for complex febrile seizures requiring EEG, MRI brain, and paediatric neurology assessment to exclude structural pathology and determine anticonvulsant prophylaxis need.",LOW
"Does the chest pain come on within minutes of starting exercise, or only after prolonged activity?",Irora àyà mi wáyé ní ìṣẹ́jú méjì sẹ́yìn kí iṣẹ́ ìdárayá mi tó pé. Kò pẹ́ fún mi láti ń ṣeré tàbí gùn ìtẹ̀lọ́ọ̀dọ̀.,"Angina of effort with very low exercise threshold causing symptoms within two minutes of activity onset, indicating severe fixed coronary artery stenosis or critical aortic stenosis requiring urgent cardiology evaluation and coronary angiography.",LOW
Have you been having any recurrent vomiting first thing in the morning before you eat anything?,Mo máa ń ègbọn ní owúrọ̀ ṣáájú jíjẹun fún oṣù méjì. Ko sí ríru ṣáájú. Ó máa ń dára lẹ́yìn ìṣẹ́jú ọgọ́fà.,"Morning vomiting without nausea in a woman of reproductive age requiring pregnancy test, alongside consideration of central causes including raised intracranial pressure and vestibular disease.",LOW
"Did the hearing loss in your ear come on suddenly, or have you been losing it gradually for some time?","Gbígbọ́ etí mi wọ lójijì ní òru, láìsí irora kankan. Mo jí dìde àti pé n ò gbọ́ ohun mọ́ ní etí yẹn.","Sudden sensorineural hearing loss with nocturnal onset and no associated otalgia, constituting an otological emergency requiring urgent audiological assessment and corticosteroid therapy.",LOW
Have you been having trouble sleeping — either difficulty falling asleep or waking up too early?,"Mo máa ń jí dìde ní àárọ̀ ìmọ́lẹ̀ fún oṣù mẹ́fà, mi ò sì lè padà sùn. Mo ń rò ọ̀pọ̀lọpọ̀ nǹkan nígbà yẹn.","Early morning awakening with inability to return to sleep and ruminative cognition for six months, a pattern of insomnia strongly associated with major depressive disorder and requiring combined sleep hygiene intervention and psychiatric evaluation.",LOW
"Does your stomach pain wake you up from sleep, or is it only present during the day?",Irora ikùn mi máa ń jí mi dìde ní òru. Ó tún wà ní ọ̀sán ṣùgbọ́n kò le tó irora alẹ́.,"Nocturnal abdominal pain disrupting sleep, a feature more indicative of organic pathology such as peptic ulcer disease or inflammatory bowel disease than functional gastrointestinal disorder.",LOW
"Have you been told you have a heart murmur, and do you know what is causing it?",Dọ́kítà sọ pé wọ́n gbọ́ ìró àjèjì nínú ọkàn mi nígbà tí mo bí ọmọ. Kò sọ ohun tó fa á àti bóyá ó léwu.,"Incidentally detected cardiac murmur in the peripartum period without explanation of aetiology or significance, requiring echocardiography to exclude valvular disease, congenital heart defect, or high-output state.",LOW
Have you been having any pain specifically at the tip of your shoulder when you raise your arm above your head?,Irora tó tọ wà ní orí èjìká mi nígbà tí mo bá gbé apá mi ga. O ń wáyé ní ìwọ̀n kan péré tó máa ń kọjá. O ti ń ṣẹlẹ̀ fún oṣù mẹ́fà.,Painful arc syndrome with shoulder tip pain on abduction between sixty and one hundred and twenty degrees consistent with subacromial impingement syndrome requiring physiotherapy and consideration of steroid injection.,LOW
Have you noticed any white patches or red patches inside your mouth that will not rub off?,Ibi funfun kan wà lórí ahọ́n mi tí kò lọ nígbà tí mo bá gbìyànjú láti pa a. Ó ti wà fún ọjọ́ ogún.,"Persistent white oral mucosal patch that cannot be wiped off for twenty days, consistent with leukoplakia — a potentially premalignant lesion requiring urgent oral medicine assessment and biopsy particularly in a tobacco user.",LOW
"Are you taking any medications that were prescribed for someone else, or bought without a prescription?",Mo máa ń ra amoxicillin ní ọjà lárugẹ nígbà tí n bá ní ikọ́. Abúrò mi tún fún mi ní oògùn ẹjẹ̀ rẹ̀ tí dọ́kítà fún un.,"Self-medication with over-the-counter amoxicillin for respiratory symptoms and use of a sibling's antihypertensive medication, practices that risk antibiotic resistance, inappropriate treatment, and adverse drug effects from unmonitored polypharmacy.",LOW
Have you been having any uncontrolled movements of your arms or legs while sitting still?,Ẹsẹ̀ mi méjèéjì máa ń gúnjú lórí ara wọn nígbà tí mo bá jókòó tí kò ní ìfẹ́ mi. O ń ṣẹlẹ̀ ní àwọn ìpàdé àti nígbà ìsùn.,"Involuntary lower limb movements at rest and during sleep consistent with restless legs syndrome requiring iron studies, renal function, and consideration of dopamine agonist therapy.",LOW
"Does the headache feel like a tight band around your head, or is it throbbing like a pulse?",Orí mi ń dùn bíi ẹni pé igbó ti di àyíká rẹ̀ ó ń mú kí irora náà wà. Ko ń lu bíi ọkàn. Ó wà ní awọn ẹ̀gbẹ́ méjèéjì.,"Bilateral band-like non-pulsating headache, the characteristic quality of tension-type headache, distinguishing it from the unilateral pulsating throbbing of migraine, guiding therapy toward simple analgesics and stress management rather than triptans.",LOW
"Have you been bullied at school or online, and how long has this been going on?",Àwọn ọmọ mẹ́ta ní kíláàsì mi máa ń yà mí sọ̀tọ̀ àti fi ọ̀rọ̀ bùrúkú sílẹ̀ nípa mi lórí WhatsApp fún oṣù méjì.,"Prolonged cyberbullying and social exclusion over two months causing significant psychological distress, a recognised risk factor for adolescent depression, self-harm, and suicidal ideation requiring school safeguarding team involvement and psychological support.",LOW
"Have you been told your thyroid is overactive, and are you on any treatment for it?",A sọ fún mi pé tairọ́ọ̀dì mi ṣiṣẹ́ jù ní ọdún méjì sẹ́yìn. Mo bẹ̀rẹ̀ oògùn ṣùgbọ́n mo dáwọ̀ nítorí àwọn àmì tó ń ṣe mí. Àwọn àmì padà báyìí.,"Hyperthyroidism with self-discontinued antithyroid medication due to side effects and now symptomatic relapse, requiring thyroid function recheck, consideration of alternative antithyroid drug, radioiodine ablation, or surgical thyroidectomy for definitive management.",LOW
"How severe is the eye pain — does it wake you at night, and is the vision affected at the same time?",Ojú mi ń dùn ní mẹ́sàn-án tó ń jí mi ní alẹ́. Ojú mi tún ti di rórò àti ìrísí imọ̀lẹ̀ ń dán mi lójú gan-an.,"Nocturnal ocular pain rated nine out of ten with concurrent visual blurring and photophobia, constituting an ophthalmic emergency requiring same-day slit-lamp examination to exclude acute angle-closure glaucoma or anterior uveitis.",LOW
Have you noticed any new or changing spots on your skin that bleed when you scratch them?,Ìwọ̀ dúdú kan lórí apá mi ń jẹ̀ ẹjẹ̀ nígbà tí a bá fi àṣọ pa a. Ó ti pọ̀ sí i ní oṣù mẹ́fà. Ó tún di àwọ̀ onírúurú.,Bleeding pigmented lesion with growth and colour change over six months fulfilling ABCDE melanoma criteria requiring urgent excision biopsy.,LOW
Have you noticed any swelling of your legs or abdomen that might be related to poor nutrition?,"Ẹsẹ̀ mi méjèèjì ti wú, àti ikùn mi tún ti bẹ̀rẹ̀ sí wú. Mo máa ń jẹ oúnjẹ díẹ̀ nítorí inú mi ò máa ń fẹ jẹun.","Bilateral pedal oedema with early abdominal distension in the context of poor appetite and inadequate dietary intake, raising concern for kwashiorkor or hypoalbuminaemia secondary to protein malnutrition.",LOW
"Is the abdominal pain present all the time, or does it come in waves and then completely go away?","Irora náà ń wáyé ní ìgbà-ìgbà, ó ń le gan-an fún ìṣẹ́jú díẹ̀ lẹ́yìn náà ó máa ń lọ pátápátá. Ó ń wáyé lẹ́ẹ̀mẹ́fà ní ọjọ́ kan.","Colicky abdominal pain occurring in waves six times daily with complete interlude resolution, the pathophysiological hallmark of hollow viscus obstruction or smooth muscle spasm as seen in ureteric colic, biliary colic, or intestinal obstruction.",LOW
"Is the back pain in your lower back, upper back, or does it radiate down your leg?","Ẹ̀hin ìsàlẹ̀ mi ni ó ń dùn. Irora náà máa ń rọ sínú ẹsẹ̀ ọ̀tún mi, títí dé ìpẹ̀sẹ̀.","Low back pain with right-sided sciatica radiating to the foot, consistent with lumbar disc herniation or nerve root compression.",LOW
"On a scale of one to ten, how would you rate the severity of your pain right now?","Bí a bá fi ọgọ́rùn-ún wọ irora, irora mi wà ní ẹjọ. Ó le gan-an, kò jẹ́ kí n sùn.","Patient rates pain severity at eight out of ten, describing it as severe and sleep-disruptive, indicative of significant acute pain burden.",LOW
"With the cough, have you had any weight loss, night sweats, or swollen glands in your neck?","Pẹ̀lú ikọ́ mi, mo ti tẹ̀nìí, mo ń gbọn ní alẹ́, àti àwọn ẹ̀gbẹ̀ wà ní ọrùn mi tó ń pọ̀. Wọ́n wa papọ̀ fún oṣù mẹ́fà.","The B symptom triad of weight loss, night sweats, and lymphadenopathy accompanying chronic cough over six months, strongly suggesting pulmonary tuberculosis or lymphoma, requiring chest X-ray, sputum AFB smear, and lymph node biopsy.",LOW
"Has the child been tested for malaria, and has there been any convulsion or loss of consciousness during the febrile episodes?",Àgbàdo kò rà á dáadáa rí. Ó ń fọn àti ní ìbà tó ga. Ó yí padà lẹ́ẹ̀kan nígbà tí ìbà náà ga jù.,Child has not undergone malaria screening. Reports high-grade pyrexia with chills and a single episode of febrile convulsion at peak fever.,LOW
"Have you been having heavier or longer periods than usual, lasting more than seven days?",Oṣù mi ti ń wáyé fún ọjọ́ mẹ́wàá àti pọ̀ jù ìgbà àárọ̀ lọ. Mo ti ń lo àṣọ ìbò mẹ́fà ní ọjọ́ kan.,"Menorrhagia with cycle duration of ten days and use of six sanitary pads per day, indicating excessive menstrual blood loss and a significant risk factor for iron deficiency anaemia requiring haematological and gynaecological evaluation.",LOW
"Before we finish today, is there anything else that has been worrying you that we have not yet discussed?","Bẹ́ẹ̀ ni, ìbẹ̀rù nìkan pé ọmọ mi tó jẹ́ ọdún mẹ́wàá ń gbọ́ àwọn ọ̀rọ̀ mi nígbà tí mo bá ń sọ̀rọ̀ nítorí irora. Mo bẹ̀rù nípa ipa rẹ̀ lórí rẹ̀.","Parental concern about a child's secondary trauma from witnessing parental pain, raised only at consultation close, illustrating the value of a structured closing question and the need for child psychological wellbeing assessment alongside the patient's own clinical management.",LOW
Have you noticed any bleeding from your gums when you brush your teeth or eat?,Ẹ̀jẹ̀ máa ń jáde nínú eyín mi nígbà tí mo bá fọ eyín mi. Ó ti jẹ́ bẹ́ẹ̀ fún oṣù mẹ́fà. Mo ro pé ọṣẹ eyín ni.,"Spontaneous gingival bleeding on toothbrushing for six months, raising the differential diagnosis of gingivitis, periodontitis, thrombocytopaenia, or vitamin C deficiency, requiring dental examination and haematological screening.",LOW
"Did you notice the yellow colour in your eyes first, or did your skin turn yellow at the same time?",Ojú mi ni àwọn ọ̀rẹ́ mi sọ pé ó di pàálu kíákíá. Awọ ara mi tún yí padà lẹ́yìn ọjọ́ méjì.,"Scleral icterus noted first by contacts, with subsequent dermal jaundice appearing two days later, suggesting acute hepatobiliary pathology with progressive hyperbilirubinaemia.",LOW
Have you been under pressure from your family to have more children even though you feel your family is complete?,Ìdílé ọkọ mi fẹ́ kí n bí ọmọ tó pọ̀ jù. Mo ti bí mẹ́fà ṣùgbọ́n wọn sọ pé ọkùnrin kò tó. Ara mi ti rẹ̀ mí.,"Reproductive coercion from in-laws with six prior deliveries in a physically exhausted patient, highlighting the intersection of cultural pressures, women's reproductive autonomy, and maternal health risk requiring sensitive counselling and confidential family planning support.",LOW
"Has there been any blood visible in your urine, and did it happen at the beginning, throughout, or at the end of urination?","Ito mi di pupa ní ìbẹ̀rẹ̀ nìkan, lẹ́yìn náà ó padà sí àwọ̀ àárọ̀. Ó ṣẹlẹ̀ lẹ́ẹ̀mẹ́ta ní ọjọ́ méjì.","Initial haematuria only at the commencement of urination on three occasions, suggesting a urethral or anterior urethral source rather than bladder or upper tract bleeding, requiring urethroscopy and urinalysis.",LOW
