"Doctor_English","Patient_Yoruba","Clinical_Translation_English"
"Is the abdominal distension worsening after meals, and have you noticed any yellowing of your skin or eyes?","Ikùn mi máa ń wú sí i lẹ́yìn tí mo bá jẹun. Àwọn ọ̀rẹ́ mi sọ pé ojú mi àti awọ ara mi ti bẹ̀rẹ̀ sí í di pàálu.","Post-prandial abdominal distension worsening over nine days with emerging jaundice (scleral icterus and skin yellowing noted by contacts). Hepatobiliary pathology suspected."
"Have you recently returned from travel, and do you have any difficulty swallowing, sore throat, or urinary symptoms alongside the fever?","Mi ò rin ìrìn-àjò. Ṣùgbọ́n ọfun mi ń dùn, gbígbé oúnjẹ ń jẹ mí nira, àti pé ìtọ mi ń jó mi.","No recent travel history. Pyrexia accompanied by pharyngitis, odynophagia, and dysuria, raising differential diagnoses of upper respiratory tract infection with concurrent urinary tract infection."
"Does the chest pain occur at rest or only with exertion, and do you experience any palpitations or shortness of breath with it?","Irora náà máa ń wáyé nígbà tí mo bá ń ṣiṣẹ́. Ọkàn mi máa ń lu yára yára, àti pé mí mi kúrú sí i ní àkókò náà.","Exertional chest pain associated with palpitations and dyspnoea, suggestive of ischaemic cardiac aetiology. Onset six days prior."
"Has the child been squinting or rubbing their eyes frequently, and has their school performance been affected recently?","Bẹ́ẹ̀ ni, ọmọ mi ń ti ojú rẹ̀ pa kúrú ní kíláàsù lati le rí. Olùkọ́ rẹ̀ sọ pé ó ti di aláìfiyèsí nínú ẹ̀kọ́.","Child reported to squint to visualise board at school, with associated decline in academic performance over eleven days, suggesting uncorrected refractive error."
"Did the vision loss occur suddenly, and is it affecting your central or peripheral field of vision?","Ojú mi di òkùnkùn lójijì ní ọ̀sán àná. Apá àárín ojú ni ó kan jù, inú ojú mi ṣoro kíkan.","Sudden-onset central visual field loss noted since yesterday afternoon. Central scotoma suspected; urgent assessment for central retinal artery occlusion or macular pathology indicated."
"Can you point to exactly where the pain is — does it stay in one place or spread?","Irora náà wà níbí, ní apá ọ̀tún ikùn mi. Kò ń rìn, ó máa ń dúró síbẹ̀ náà.","Pain is localised to the right iliac fossa with no radiation, consistent with appendiceal or ovarian pathology."
"Where exactly is the headache — is it at the front, the back, or on one side of your head?","Orí mi ń dùn lẹ́yìn orí mi, tó sì ń tan wá sí ẹ̀gbẹ́ ọrùn mi. Ko wà niwájú rárá.","Occipital headache with radiation to the cervical region. Anterior cranium uninvolved. Tension-type or cervicogenic headache suspected."
"Is the joint pain affecting your knees, hips, or multiple joints at the same time?","Orúkún méjèèjì mi ni ń dùn, pàápàá jù lọ ní òwúrọ̀. Ìgbọ̀nsẹ̀ mi tún máa ń jẹ mí lẹ́ẹ̀kọ̀ọ̀kan.","Bilateral knee arthralgia with morning predominance and intermittent hip involvement, raising the differential diagnosis of rheumatoid or osteoarthritis."
"Is the back pain in your lower back, upper back, or does it radiate down your leg?","Ẹ̀hin ìsàlẹ̀ mi ni ó ń dùn. Irora náà máa ń rọ sínú ẹsẹ̀ ọ̀tún mi, títí dé ìpẹ̀sẹ̀.","Low back pain with right-sided sciatica radiating to the foot, consistent with lumbar disc herniation or nerve root compression."
"Is the skin rash confined to one area or has it spread across your body?","Àárọ̀ tí àpá mi bẹ̀rẹ̀, lẹ́yìn náà ó tàn sí ọrùn mi àti àyà mi. Ó ń yọ ní gbogbo ibùgbé wọ̀nyí.","Rash initially localised to the upper limbs with subsequent centripetal spread to the neck and trunk, raising concern for systemic dermatological or viral aetiology."
"Where do you feel the burning sensation when you pass urine — inside or at the opening?","Nígbà tí mo bá ń ṣe ito, irora tó dà bí iná ń jó mi ní ẹnu ìtọ mi, kò wà nísàlẹ̀ ikùn rárá.","Dysuria localised to the urethral meatus with no associated suprapubic pain, suggesting distal urinary tract involvement or urethritis."
"Is the swelling in your legs affecting the ankles, calves, or the entire leg?","Ẹsẹ̀ méjèèjì mi ti wú, láti ìsàlẹ̀ ẹsẹ̀ títí dé orúkún. Àárọ̀ ni ó máa ń burú jù.","Bilateral pitting oedema from the ankles to the knees, worsening in the morning. Cardiac, renal, or hepatic aetiology must be evaluated."
"Is the sore throat on one side or both sides, and can you feel any lumps in your neck?","Ọfun mi ń dùn ní apá kan ṣoṣo, ní ọ̀tún. Mo tún lóye pé èso kan wà ní ọrùn mi ní ẹ̀gbẹ́ kan náà.","Unilateral right-sided pharyngeal pain with an ipsilateral palpable cervical lymph node, raising concern for peritonsillar abscess or lymphadenopathy."
"Where do you feel the tightness — is it in your chest, throat, or both?","Àyà mi ni ó ń dín mọ́, bí ẹni pé nǹkan wà tó ń tẹ ọ. Ọfun mi kò kan nínú rẹ̀.","Retrosternal chest tightness without pharyngeal involvement, consistent with cardiac or pulmonary pathology rather than upper airway disease."
"Is the abdominal pain around your navel, or has it moved to the right lower side?","Irora bẹ̀rẹ̀ ní àárín ikùn mi, nitòsí ibi tí àgọ̀ mi wà. Ní báyìí, ó ti rìn wá sí apá ọ̀tún ìsàlẹ̀.","Periumbilical pain migrating to the right iliac fossa — a classical presentation of acute appendicitis requiring urgent surgical assessment."
"On a scale of one to ten, how would you rate the severity of your pain right now?","Bí a bá fi ọgọ́rùn-ún wọ irora, irora mi wà ní ẹjọ. Ó le gan-an, kò jẹ́ kí n sùn.","Patient rates pain severity at eight out of ten, describing it as severe and sleep-disruptive, indicative of significant acute pain burden."
"How severe is the dizziness — does it prevent you from standing or walking?","Orí mi yípo yípo tó jẹ́ kí n ṣubú lẹ́ẹ̀kan. Mo ti dawọ iṣẹ́ dúró nítorí rẹ̀.","Severe vertiginous episodes resulting in a fall and cessation of occupational activities, suggesting central or peripheral vestibular pathology."
"How intense is your breathing difficulty — can you complete a full sentence without stopping?","Mí mi kúrú tobẹ̀ẹ́ tí mi ò lè pari ọ̀rọ̀ kan láìdáwọ dúró. Mo tilẹ̀ ń rí ìṣòro láti jókòó.","Severe dyspnoea precluding completion of full sentences and limiting the patient to sitting position, consistent with acute respiratory compromise."
"How bad is the itching — is it interfering with your sleep or daily activities?","Ìmọ̀ ara mi le tó jẹ́ kí n jí ní àárọ̀. Mo ti ń gbá ara mi títí dé ibi tí ẹjẹ̀ ń jáde.","Severe pruritus disrupting sleep and resulting in excoriation with bleeding, indicating a significant dermatological condition requiring urgent evaluation."
"How severe is the nausea — have you been unable to keep any food or water down?","Ríru mi le, mo ń bì gbogbo ohun tí mo bá jẹ tàbí mu. Ko lọ fún ọjọ́ méjì báyìí.","Severe nausea with persistent vomiting for two days resulting in inability to tolerate oral intake, raising concern for dehydration and electrolyte imbalance."
"How severe is your fatigue — can you still carry out your normal household duties?","Àárẹ̀ mi le tó jẹ́ kí n máà lè jẹun pa àwọn ọmọ mi. Mo ń wà lórí ibùsùn fún ọjọ́ mẹ́ta.","Severe fatigue rendering the patient bedridden for three days and unable to perform basic domestic tasks, suggesting systemic illness or haematological pathology."
"How severe is the ear pain — is it affecting your ability to hear on that side?","Etí mi ń dùn gan-an, ní apá òsì. Gbígbọ́ mi di àìtó ní etí yẹn fún ọjọ́ mẹ́rin.","Severe left-sided otalgia with ipsilateral hearing impairment over four days, suggestive of acute otitis media or external ear pathology."
"Is the pain severe enough that you needed someone to help you get here today?","Bẹ́ẹ̀ ni, ọkọ mi ni ó gbé mi wá. Mi ò lè rìn nítorí irora ẹsẹ̀ mi.","Pain severity necessitated assisted ambulation and transport. Patient unable to walk independently due to lower limb pain, indicating significant functional impairment."
"How severe is the abdominal cramp — does it come in waves or is it constant?","Irora náà máa ń wáyé ní ìgbà-ìgbà, ó sì le gidigidi nígbà tí ó bá dé. Ó máa ń lọ lẹ́yìn ìṣẹ́jú díẹ̀.","Colicky abdominal pain occurring in intermittent waves of high intensity with spontaneous resolution, consistent with visceral smooth muscle pathology such as ureteric or biliary colic."
"How severe was the convulsion — did the child lose consciousness or stop breathing during it?","Ọmọ mi gbọn gan-an, ojú rẹ̀ yípadà. Ó dà bíi pé ó dáwọ mí dúró fún ìṣẹ́jú díẹ̀, ó sì padà sí i.","Tonic-clonic convulsive episode with reported transient apnoea and loss of consciousness, requiring urgent neurological assessment and airway management evaluation."
"Is the pain constant throughout the day, or does it come and go at certain times?","Irora náà kò ń dúró, ó máa ń wá lọ. Ó máa ń burú ní àárọ̀ àti ní àsìkò oúnjẹ alẹ́.","Intermittent pain with morning and evening exacerbation, suggesting a pattern consistent with inflammatory joint disease or peptic ulcer disease depending on localisation."
"Does the headache occur every day, or only on certain days of the week?","Kò ní ọjọ́ tí orí mi ò ń fọ̀. Ó ti jẹ́ bẹ́ẹ̀ fún ọ̀sẹ̀ méjì báyìí.","Daily headache persisting for two weeks without remission, raising concern for chronic daily headache, raised intracranial pressure, or medication-overuse headache."
"Does the chest pain happen at any particular time — after meals, at rest, or only at night?","Irora àyà mi máa ń wáyé ní àárọ̀ alẹ́ nígbà tí mo bá fẹ́ sùn. Ó kò ń ṣẹlẹ̀ nígbà tí mo bá jẹun.","Nocturnal chest pain unrelated to meals, raising concern for gastro-oesophageal reflux disease, variant angina, or musculoskeletal aetiology."
"How long does each episode of palpitation last — seconds, minutes, or longer?","Ọkàn mi máa ń lu yára yára fún ìṣẹ́jú márùn-ún sí mẹ́wàá. Lẹ́yìn náà ó máa ń padà sí ìwọ̀n àárọ̀.","Paroxysmal palpitations lasting five to ten minutes with spontaneous termination, consistent with supraventricular tachycardia or paroxysmal atrial fibrillation."
"Does the shortness of breath occur only at night, or throughout the day as well?","Mí mi kúrú jù ní àárọ̀ alẹ́, ó máa ń jí mi dìde. Ní ọ̀sán, ó máa ń yẹ̀ díẹ̀.","Paroxysmal nocturnal dyspnoea with partial diurnal relief, a hallmark presentation of left ventricular failure and pulmonary congestion."
"Does the diarrhoea occur at night as well, or only during the day?","Ìgbẹ́ gbuuru mi máa ń wáyé ní ọ̀sán àti alẹ́. Ó jí mi dìde lẹ́ẹ̀mẹ́ta ní òru.","Nocturnal diarrhoea occurring up to three times per night in addition to daytime episodes, suggesting an organic rather than functional aetiology such as inflammatory bowel disease."
"How often do the dizzy spells come — several times a day or occasionally?","Orí mi máa ń yípo lẹ́ẹ̀mẹ́fà sí mẹ́jọ ní ọjọ́ kan. Ó máa ń wáyé lójijì láìsí ìkìlọ̀.","Frequent vertiginous episodes occurring six to eight times daily with sudden onset and no prodromal warning, consistent with Ménière's disease or benign paroxysmal positional vertigo."
"Does the fever spike at a particular time of day, or is it persistent throughout?","Ibà mi máa ń ga jù ní òru, àti ní àárọ̀ ìmọ́lẹ̀. Ní ọ̀sán, ó máa ń rọ díẹ̀.","Biphasic fever pattern with peaks in the early morning and evening with partial diurnal defervescence, a pattern associated with malaria, typhoid fever, and certain viral infections."
"When did the rash first appear, and has it changed in appearance or spread since then?","Àpá rẹ̀ bẹ̀rẹ̀ ní ọjọ́ mẹ́ta sẹ́yìn, ní àwọ̀ pupa. Ní báyìí, ó ti di nǹkan tó ń jẹ àti tó ti tan.","Erythematous rash of three days duration with progressive vesiculation and centrifugal spread, raising concern for varicella, herpes zoster, or contact dermatitis."
"Does the urinary frequency happen mostly at night, or equally during the day?","Mo máa ń jí dìde lẹ́ẹ̀mẹ́rin sí márùn-ún ní òru láti ṣe ito. Ní ọ̀sán, mo ń ṣe ito ní ìgbà àárọ̀ péré.","Nocturia occurring four to five times per night with relatively normal diurnal frequency, suggesting benign prostatic hyperplasia, diabetes insipidus, or nocturnal polyuria syndrome."
"Did the pain start suddenly or did it develop gradually over several days?","Irora náà wáyé lójijì gan-an, bí ẹni pé nǹkan ya nínú ìdí mi. Ko ní ìkìlọ̀ kankan.","Sudden-onset severe pain described as a tearing sensation with no prodrome, requiring urgent exclusion of vascular emergencies such as aortic dissection or visceral perforation."
"Were you doing anything specific when the chest pain first started?","Mo ń gbé àpótí wúwo nígbà tí irora náà bẹ̀rẹ̀. Mo ni láti fi sílẹ̀ kí n le dúró mú ìmí.","Chest pain precipitated by heavy lifting, with associated dyspnoea requiring cessation of activity. Musculoskeletal or exertional cardiac aetiology must be differentiated."
"Did the weakness in your limbs come on suddenly, like when you woke up, or has it been slowly getting worse?","Mo jí ní àárọ̀ ọjọ́ kan, apá òsì mi sì kò lè gbe mọ́. Ó wáyé lójijì, kò jẹ́ bẹ̀rẹ̀ díẹ̀díẹ̀.","Acute-onset unilateral upper limb weakness noted on waking, without gradual progression. This presentation is consistent with a cerebrovascular accident and requires immediate neurological evaluation."
"When did you first notice the swelling in your leg, and was there any injury or long journey before it started?","Ẹsẹ̀ mi bẹ̀rẹ̀ sí wú lẹ́yìn ìrìn-àjò gígùn ní ọkọ̀ ayọ́kẹ́lẹ́ fún wákàtí mẹ́jọ. Mo kò dìde rárá ní ìrìn àjò yẹn.","Unilateral leg swelling following prolonged immobility during an eight-hour road journey. Deep vein thrombosis must be urgently excluded given the clinical context."
"Did you notice the yellow colour in your eyes first, or did your skin turn yellow at the same time?","Ojú mi ni àwọn ọ̀rẹ́ mi sọ pé ó di pàálu kíákíá. Awọ ara mi tún yí padà lẹ́yìn ọjọ́ méjì.","Scleral icterus noted first by contacts, with subsequent dermal jaundice appearing two days later, suggesting acute hepatobiliary pathology with progressive hyperbilirubinaemia."
"Did the confusion start after a fall, or was it already present before any injury?","Ó ṣubú ní ilé, lẹ́yìn náà ni àwọn ẹbí rẹ̀ sọ pé inú rẹ̀ di àásìkí. Ṣùgbọ́n ojúlówó ó ń dàrú ṣáájú ìṣubú náà.","Pre-existing confusion confirmed by family prior to the fall event, suggesting the cognitive impairment caused the fall rather than resulting from it. Metabolic or neurological aetiology must be assessed."
"Did the vomiting start before or after the abdominal pain began?","Irora ikùn mi wáyé kíákíá, ìgbẹ́ èébì sì bẹ̀rẹ̀ lẹ́yìn ìṣẹ́jú mẹ́wàá. Àtẹlẹ irora ni ó wáyé ṣáájú.","Abdominal pain preceding the onset of vomiting by approximately ten minutes, a sequence more consistent with a surgical abdomen than with primary gastroenteritis."
"When the rash first appeared, did you have a fever or feel generally unwell at the same time?","Bẹ́ẹ̀ ni, ibà wáyé kíákíá ṣáájú kí àpá náà tó fara hàn. Mo tún ní àárẹ̀ àti irora ara.","Prodromal febrile illness with malaise preceding cutaneous eruption, a sequence consistent with viral exanthem, measles, or dengue fever."
"Did the difficulty swallowing start with solids first, or were you unable to swallow liquids from the beginning?","Ohun tó le ni mi ò lè gbé àárọ̀. Ní báyìí, omi tún ti ń jẹ mí nira. Ó bẹ̀rẹ̀ ní ọ̀sẹ̀ mẹ́ta sẹ́yìn.","Progressive dysphagia commencing with solids three weeks ago and now including liquids, a pattern highly suggestive of oesophageal malignancy or severe stricture requiring urgent endoscopic evaluation."
"Did the hearing loss in your ear come on suddenly, or have you been losing it gradually for some time?","Gbígbọ́ etí mi wọ lójijì ní òru, láìsí irora kankan. Mo jí dìde àti pé n ò gbọ́ ohun mọ́ ní etí yẹn.","Sudden sensorineural hearing loss with nocturnal onset and no associated otalgia, constituting an otological emergency requiring urgent audiological assessment and corticosteroid therapy."
"How old is the child, and has this type of illness happened before in the family?","Ọmọ mi jẹ́ ọmọ ọdún mẹ́ta. Ìyá rẹ̀ náà ní àìsàn bẹ́ẹ̀ nígbà tí ó wà lọ́mọdé.","Three-year-old child with a maternal family history of similar illness in childhood, raising the possibility of a hereditary or familial condition warranting genetic screening."
"Are you currently breastfeeding, and have you noticed any changes in your milk supply or breast tenderness?","Mo ń fun ọmọ mi ọmú. Ọmú mi ti di lile àti irora ní apá ọ̀tún fún ọjọ́ mẹ́ta. Wàrà mi tún di díẹ̀.","Lactating patient presenting with right breast induration, tenderness, and reduced milk output over three days, consistent with lactational mastitis requiring antibiotic therapy and continued breastfeeding support."
"Has the child been vaccinated according to the national immunisation schedule?","A ti fún un àjesara tó yẹ gbogbo. Mo ní ìwé àjesara rẹ̀ tí mo mú wá.","Child is reported to be fully immunised according to the national schedule, with vaccination records available for review. This reduces the likelihood of vaccine-preventable aetiologies."
"Do you smoke, drink alcohol, or use any traditional herbal medicines regularly?","Mi ò mu sìgá, ṣùgbọ́n mo máa ń mu ògógóró lẹ́ẹ̀kan ní ọ̀sẹ̀. Mo tún máa ń mu àgbo oògùn tí agbàdo mi fún mi.","Patient denies tobacco use but reports weekly alcohol consumption and regular use of traditional herbal preparations. Hepatotoxicity and drug-herb interactions must be considered in the clinical assessment."
"Is there any family history of heart disease, stroke, or sudden death at a young age?","Bàbá mi kú lójijì ní ọjọ́-orí àádọ́ta. Ẹ̀gbọ́n mi tún ní àìsàn ọkàn. Mo bẹ̀rù pé irora àyà mi ní iṣẹ́ pẹ̀lú ìdílé wa.","Paternal sudden cardiac death at age fifty and a sibling with established cardiac disease. Significant familial cardiovascular risk requiring thorough cardiological evaluation including ECG and echocardiography."
"Have you lost your appetite recently, and have you noticed any change in your stool colour?","Ìfẹ́kúfẹ̀ẹ́ mi ti lọ fún ọjọ́ mẹ́wàá. Ìgbẹ́ mi ti di àwọ̀ funfun-funfun, èyí tí kò jẹ́ àárọ̀ mi.","Anorexia persisting for ten days with pale acholic stools, strongly suggesting cholestatic liver disease or biliary obstruction requiring urgent hepatobiliary imaging."
"Has the child been eating and drinking normally, and how many wet nappies have you seen today?","Ọmọ mi ti dawọ jíjẹ dúró. Ó ti kọ ọmu lẹ́ẹ̀mẹ́ta. Ìwọ̀-toto rẹ̀ kéré, àṣọ ìwọ̀ rẹ̀ kò pọ̀ bí ìgbà àárọ̀.","Infant with feeding refusal, three episodes of breastfeeding rejection, and reduced wet nappies compared to baseline, indicating significant dehydration and requiring urgent fluid assessment."
"Are you pregnant, or is there any possibility that you could be pregnant?","Mo lérò pé mo lóyún nítorí oṣù mi ti pẹ̀ẹ̀ fún ọjọ́ ogójì. Ìdánwò oyún tí mo ṣe ní ilé fúnni ní àbájáde rere.","Patient reports amenorrhoea of forty days duration with a positive home pregnancy test. Intrauterine pregnancy must be confirmed and ectopic pregnancy excluded by urgent pelvic ultrasonography."
"Have you ever been hospitalised before, and if so, what was it for?","A gbé mi wọ ilé ìwòsàn lẹ́ẹ̀kan nígbà tí mo bí ọmọ kẹta. Wọ́n sọ pé ẹjẹ̀ mi gbẹ, a ṣe mi àjẹjẹ̀.","Previous hospitalisation for postpartum haemorrhage requiring blood transfusion during the third delivery. Significant obstetric history with risk of recurrent haemorrhage in future pregnancies."
"Do you work in any environment that might expose you to chemicals, dust, or loud noise?","Mo ń ṣiṣẹ́ nínú ilé iṣẹ́ tí wọ́n ń ṣe àwo. Èéfín ń jáde lọ́pọ̀lọpọ̀ níbẹ̀, a kò sì máa ń wọ ìbòjú.","Occupational exposure to paint fumes in an unventilated factory setting without personal protective equipment. Chronic solvent toxicity and respiratory disease must be considered in the differential diagnosis."
"Have you noticed any changes in your urine — colour, smell, or how often you go?","Ito mi ti di àwọ̀ pupa-pupa fún ọjọ́ méjì. Ó tún ní òórùn tó gbóná, mi ò sì lè dúró tí ó bá fẹ́ wáyé.","Haematuria with malodorous urine and urinary urgency for two days, suggesting urinary tract infection with haemorrhagic cystitis or upper tract involvement requiring urine microscopy and culture."
"Has the patient been able to move all four limbs since the accident?","Lẹ́yìn ìjàǹbá náà, ẹsẹ̀ rẹ̀ méjì kò lè gbe. Ó ń fẹ̀sẹ̀ mú àti sọ pé kò ní ìmọ̀ ní apá ìsàlẹ̀ ìdí rẹ̀.","Post-traumatic bilateral lower limb paralysis with loss of sensation below the waist, indicating possible spinal cord injury at the thoracolumbar junction requiring immediate immobilisation and imaging."
"Is the child walking normally, or have you noticed any limping or refusal to walk?","Ọmọ mi ti kọ ìrìn dúró fún ọjọ́ méjì. Nígbà tí a gbìyànjú láti gbé e dìde, ó ń sọkún tó le.","Acute refusal to walk with inconsolable crying on weight-bearing for two days in a child, raising concern for septic arthritis, transient synovitis, or occult fracture requiring urgent orthopaedic assessment."
"Are you able to eat soft foods, or has even swallowing water become difficult?","Omi tún ti ń jẹ mí nira báyìí. Mo gbìyànjú láti mu omi, ó sì padà wá. Ó bẹ̀rẹ̀ pẹ̀lú ohun tó le, lẹ́yìn náà omi.","Complete dysphagia now including liquids, with regurgitation on attempted water intake, indicating severe oesophageal obstruction or achalasia requiring emergency evaluation."
"Has the elderly patient been confused at night but clear-headed during the day?","Àgbàdo mi ń sọ àwọn ọ̀rọ̀ àjèjì ní alẹ́, ó máa ń jí sálẹ̀ ibùsùn. Ní ọ̀sán, ó mọ àwọn ọmọ rẹ̀ mọ̀.","Nocturnal confusion with sundowning behaviour and preservation of daytime orientation, a pattern consistent with delirium superimposed on early dementia or metabolic encephalopathy in the elderly."
"Has the patient lost control of their bladder or bowel at any point during the illness?","Bẹ́ẹ̀ ni, ó ti ṣe ito nínú àṣọ rẹ̀ lẹ́ẹ̀mejì, àti pé ó ṣe ìgbẹ́ kan tí kò mọ̀. Èyí kò jẹ́ iṣẹ́ rẹ̀ rárá.","Two episodes of urinary incontinence and one episode of faecal incontinence during the illness, representing a significant change from baseline and raising concern for spinal cord pathology or severe metabolic disturbance."
"Have you noticed any lumps, bumps, or unusual growths anywhere on your body recently?","Mo rí ohun tó dà bíi èso ní ẹ̀gbẹ́ ọrùn mi tó ti ń pọ̀ sí i fún ọjọ́ mẹ́wàá. Kò ń dùn, ṣùgbọ́n ó ti pọ̀.","Painless, progressively enlarging cervical lymph node over ten days without associated tenderness, raising concern for lymphoma, metastatic malignancy, or chronic infection such as tuberculosis."
"Is the patient able to recognise family members, and has there been any change in personality?","Ó mọ àwọn ọmọ rẹ̀ àti ìyàwó rẹ̀. Ṣùgbọ́n ìwà rẹ̀ ti yí padà, ó ti di aláìsùúrù àti ibínú ní ìgbà-ìgbà.","Preserved recognition of immediate family with documented personality change characterised by irritability and emotional lability, suggesting frontotemporal involvement in the context of neurodegenerative or vascular dementia."
"Have you noticed any trembling in your hands, stiffness in your limbs, or slowing of your movements?","Ọwọ́ mi máa ń mì nígbà tí mo bá fẹ́ gbe nǹkan. Ara mi tún di jáko, àti pé mo máa ń rìn díẹ̀díẹ̀ ju ìgbà àárọ̀ lọ.","Resting tremor, limb rigidity, and bradykinesia reported by the patient, forming the classical triad of Parkinson's disease and warranting urgent neurological referral."
"Has the child's fontanelle appeared bulging or sunken, and have you noticed any neck stiffness?","Orí ọmọ mi ń wu, a fi ọwọ́ kan rẹ̀. Ó tún ń kọ ìgbà tí a bá gbìyànjú láti tẹ ọrùn rẹ̀ wá siwájú.","Bulging anterior fontanelle with neck stiffness in a febrile infant — a paediatric emergency indicating suspected bacterial meningitis requiring immediate lumbar puncture and empirical antibiotic therapy."
